DISCIPLINE;CATEGORIE;CODE_STRUCTURE;CLUB
Tir à 18m;Arc Nu Mixte;1244015;La Baule
Tir à 18m;Arc Classique Homme;1244027;Montoir de Bretagne
Tir à 18m;Arc Classique Femme;1244042;Orvault
Tir à 18m;Arc classique Homme;1244042;Orvault
Tir à 18m;Arc classique Femme;1244027;Montoir de Bretagne
Tir à 18m;Arc Nu Mixte;1244035;Archers de la mee
Tir à 18m;Arc à Poulie Mixte;1272095;Le Luart
Tir à 18m;Arc à Poulie Mixte;1244036;La Turballe
Tir à 18m;Arc Classique Homme;1244036;La Turballe
Tir à 18m;Arc Nu Mixte;1272109;Sillé le guillaume
Tir à 18m;Arc Classique U18 - U21;1249047;Candé
Tir à 18m;Arc Classique U18 - U21;1244003;Thouare sur loire
Tir à 18m;Arc Classique U13 - U15;1244003;Thouare sur loire
Tir à 18m;Arc classique Homme;1285121;Montaigu
Tir à 18m;Arc classique Femme;1285121;Montaigu
Tir à 18m;Arc classique Homme;1249047;Candé
Tir à 18m;Arc classique Homme;1272098;La Fleche
Tir à 18m;Arc à Poulie Mixte;1249047;Candé
Tir à 18m;Arc classique Homme;1244010;Donges
Tir à 18m;Arc à Poulie Mixte;1244010;Donges
Tir à 18m;Arc Nu Mixte;1244010;Donges
