SAISON;DISCIPLINE;RANG;RANG_LIGUE;PRE_INSCRIT;QUOTA;NOM_ABREGE;SEXE_EQUIPE;ARME_EQUIPE;CATEGORIE_CLASSEMENT;CODE_STRUCTURE;NOM_STRUCTURE;ADRESSE_VILLE_SIEGE;SCORE1;SCORE2;SCORE3;MOY_SCORE;CORRESPONDANT_CLUB
2026;T;57;;;;NANTES;X;CL;Jeune Mixte 2026;1244044;ARCHERS NANTAIS;NANTES;484;449;344;1277;secretariat.archersnantais@gmail.com
2026;T;67;;;;CARQUEFOU;X;CL;Jeune Mixte 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;426;395;325;1146;ioan.legue@gmail.com
2026;T;17;;;;CANDE;H;CL;U18/U21 Garçon 2026;1249047;CIE DES ARCHERS DU S.O CANDEEN;CANDE;593;572;566;1731;archersdusocande@gmail.com
2026;T;33;;;;ORVAULT;H;CL;U18/U21 Garçon 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;491;474;391;1356;archers.orvault@gmail.com
2026;T;37;;;;CARQUEFOU;H;CL;U18/U21 Garçon 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;450;375;299;1124;ioan.legue@gmail.com
2026;T;33;;D2;;MONTOIR DE BRETAGNE;H;CL;Arc Classique Homme 2026;1244027;LES ARCHERS MONTOIRINS;MONTOIR-DE-BRETAGNE;632;611;563;1806;lesarchersmontoirins@gmail.com
2026;T;34;;D2;;CARQUEFOU;H;CL;Arc Classique Homme 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;619;599;588;1806;ioan.legue@gmail.com
2026;T;36;;D2;;LAIGNÉ SAINT GERVAIS;H;CL;Arc Classique Homme 2026;1272091;CIE ARCHERS DU BELINOIS;LAIGNÉ-EN-BELIN;601;596;594;1791;cecile.bertin@orange.fr
2026;T;41;;DR ;;MURS ERIGNE;H;CL;Arc Classique Homme 2026;1249058;LES ARCHERS DE L'AUBANCE;MÛRS-ERIGNÉ;605;594;575;1774;peltiermichael3@gmail.com
2026;T;51;;DR ;;ANGERS;H;CL;Arc Classique Homme 2026;1249056;S G T A - TIR A L'ARC;ANGERS;612;601;534;1747;benamareric@gmail.com
2026;T;70;;DR ;;MONTAIGU;H;CL;Arc Classique Homme 2026;1285121;LES ARCHERS DE LA DIGUE;MONTAIGU-VENDÉE;614;549;543;1706;archersdeladigue.president@gmail.com
2026;T;76;;DR ;;ORVAULT;H;CL;Arc Classique Homme 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;608;545;544;1697;archers.orvault@gmail.com
2026;T;82;;DR ;;ECOUFLANT;H;CL;Arc Classique Homme 2026;1249071;ARC ECOUFLANT;JUVARDEIL;609;543;541;1693;lejean49@gmail.com
2026;T;88;;DR ;;AIZENAY;H;CL;Arc Classique Homme 2026;1285133;L'ARCHER CLUB D'AIZENAY;AIZENAY;616;556;507;1679;arc.aizenay@gmail.com
2026;T;97;;DR ;;CANDE;H;CL;Arc Classique Homme 2026;1249047;CIE DES ARCHERS DU S.O CANDEEN;CANDE;572;551;540;1663;archersdusocande@gmail.com
2026;T;114;;DR ;;CHOLET TAC;H;CL;Arc Classique Homme 2026;1249050;TIR A L ARC CHOLETAIS;CHOLET;605;536;500;1641;alexis.garnier49@gmail.com
2026;T;117;;DR ;;FONTENAY LE COMTE;H;CL;Arc Classique Homme 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;580;549;506;1635;archers.fontenay@gmail.com
2026;T;132;;DR ;;NANTES;H;CL;Arc Classique Homme 2026;1244044;ARCHERS NANTAIS;NANTES;541;539;532;1612;secretariat.archersnantais@gmail.com
2026;T;133;;DR ;;ST MACAIRE EN MAUGES;H;CL;Arc Classique Homme 2026;1249059;LA FLECHE MACAIROISE;SEVREMOINE;544;541;525;1610;loulle49@orange.fr
2026;T;152;;DR ;;LA FLECHE;H;CL;Arc Classique Homme 2026;1272098;COMPAGNIE D'ARC DE LA FLECHE;LA FLÈCHE;618;488;465;1571;ciearclafeche@gmail.com
2026;T;182;;DR ;;MAZE;H;CL;Arc Classique Homme 2026;1249049;ARCHERS DU VAL D'AUTHION;MAZE;524;503;493;1520;ava.maze49@gmail.com
2026;T;186;;;;DONGES;H;CL;Arc Classique Homme 2026;1244010;CIE LES FLECHES DONGEOISES;DONGES;535;525;452;1512;romualdcadoret@gmail.com
2026;T;195;;;;VERTOU;H;CL;Arc Classique Homme 2026;1244041;CIE ARCHERS DE VERTOU;SAINT-SÉBASTIEN-SUR-LOIRE;545;497;448;1490;bureau@vertouarc.fr
2026;T;23;;D1;;FONTENAY LE COMTE;F;CL;Arc Classique Femme 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;547;545;526;1618;archers.fontenay@gmail.com
2026;T;42;;D2;;NANTES;F;CL;Arc Classique Femme 2026;1244044;ARCHERS NANTAIS;NANTES;529;511;492;1532;secretariat.archersnantais@gmail.com
2026;T;43;;DR ;;ORVAULT;F;CL;Arc Classique Femme 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;540;522;469;1531;archers.orvault@gmail.com
2026;T;46;;;;MONTOIR DE BRETAGNE;F;CL;Arc Classique Femme 2026;1244027;LES ARCHERS MONTOIRINS;MONTOIR-DE-BRETAGNE;527;525;476;1528;lesarchersmontoirins@gmail.com
2026;T;48;;DR ;;LAIGNÉ SAINT GERVAIS;F;CL;Arc Classique Femme 2026;1272091;CIE ARCHERS DU BELINOIS;LAIGNÉ-EN-BELIN;562;498;460;1520;cecile.bertin@orange.fr
2026;T;51;;DR ;;MURS ERIGNE;F;CL;Arc Classique Femme 2026;1249058;LES ARCHERS DE L'AUBANCE;MÛRS-ERIGNÉ;567;486;451;1504;peltiermichael3@gmail.com
2026;T;65;;;;MONTAIGU;F;CL;Arc Classique Femme 2026;1285121;LES ARCHERS DE LA DIGUE;MONTAIGU-VENDÉE;487;479;470;1436;archersdeladigue.president@gmail.com
2026;T;22;;;;FONTENAY LE COMTE;F;CL;U18/U21 Fille 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;545;394;382;1321;archers.fontenay@gmail.com
2026;T;23;;;;CARQUEFOU;F;CL;U18/U21 Fille 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;395;358;318;1071;ioan.legue@gmail.com
