DISCIPLINE;ARME;CATEGORIE;SEXE;QUOTA
Tir 18m;CL;S1;F;16
Tir 18m;CL;S1;H;26
Tir 18m;CL;S2;F;16
Tir 18m;CL;S2;H;28
Tir 18m;CL;S3;F;10
Tir 18m;CL;S3;H;18
Tir 18m;CO;S1;F;5
Tir 18m;CO;S1;H;9
Tir 18m;CO;S2;F;8
Tir 18m;CO;S2;H;24
Tir 18m;CO;S3;F;4
Tir 18m;CO;S3;H;8
Tir 18m;BB;Scratch Adultes BB;F;6
Tir 18m;BB;Scratch Adultes BB;H;22
Tir 18m;;Arc Classique Femme;;8
Tir 18m;;Arc classique Homme;;12
Tir 18m;;Arc classique U13 - U15;;4
Tir 18m;;Arc classique U18 - U21;;4
Tir 18m;;Arc Nu Mixte;;4
Tir 18m;;Arc à Poulie Mixte;;8
